VP	Comp	RT	Error
114	comp	340.076662000001	0
114	incomp	398.567373000105	0
114	comp	327.145449	0
114	incomp	406.533758000023	0
114	comp	365.149613000085	0
114	comp	353.254199000048	0
114	comp	307.742443000052	0
114	comp	376.644839000164	0
114	incomp	405.545179000001	0
114	incomp	455.251989000089	0
114	comp	335.896869999942	0
114	comp	379.322608999928	0
114	comp	302.672390999987	0
114	comp	329.283297000075	0
114	incomp	387.683296999967	0
114	comp	343.928417000143	0
114	incomp	328.712504000123	0
114	comp	294.187021000198	0
114	comp	307.908457000167	0
114	incomp	375.768913000002	0
114	comp	404.619666999906	0
114	comp	425.586734000035	0
114	incomp	429.418311000063	0
114	incomp	367.626237999957	0
114	incomp	399.737221000123	0
114	comp	382.212179999897	0
114	incomp	375.625507999985	0
114	comp	400.150632000077	0
114	comp	375.654442000041	0
114	incomp	433.63495199992	0
114	comp	313.921158000085	0
114	comp	411.905979000039	0
114	incomp	391.913998000064	0
114	incomp	401.235470000074	0
114	incomp	395.76371000021	0
114	incomp	361.411594999936	0
114	comp	333.00940800018	0
114	incomp	367.688559000044	0
114	comp	343.888834999916	0
114	incomp	349.487803000102	0
114	comp	366.037869000138	0
114	comp	293.285908999906	0
114	incomp	402.225830000134	0
114	comp	406.873903999895	0
114	incomp	386.05594600017	0
114	incomp	342.284137000206	0
114	incomp	345.684579999897	0
114	comp	430.286525999918	0
114	comp	293.55501100008	0
114	incomp	332.243898000115	0
114	incomp	410.63968200001	0
114	incomp	389.198309999983	0
114	comp	341.403152999874	0
114	incomp	423.44736400014	0
114	comp	355.67992700021	1
114	incomp	441.524124000125	0
114	comp	640.811087000202	0
114	incomp	443.617613000242	0
114	comp	311.515083000131	0
114	incomp	430.027619000157	0
114	comp	350.140668999984	0
114	incomp	355.992534000052	0
114	incomp	356.484886000089	0
114	incomp	395.653797000023	0
114	comp	397.91130499998	0
114	incomp	449.571853999942	0
114	comp	438.009487000045	0
114	comp	320.360471999948	0
114	incomp	413.522346000036	0
114	comp	427.269185999876	0
114	comp	319.574148000129	0
114	incomp	423.54578000004	0
114	comp	381.466928000009	0
114	comp	347.773859000199	0
114	incomp	344.51202199989	0
114	incomp	431.240607000063	0
114	comp	403.44488400001	0
114	incomp	385.092473999975	0
114	incomp	341.433066000036	0
114	incomp	381.779795000057	0
114	incomp	407.146313000112	0
114	incomp	413.74235100011	0
114	incomp	319.843507000087	0
114	incomp	369.34324300023	0
114	comp	361.810551999952	0
114	comp	353.839729000129	0
114	comp	337.557580000066	0
114	incomp	369.777413000065	0
114	comp	409.20531200004	0
114	incomp	369.618948000152	0
114	comp	399.39849700022	0
114	comp	338.06942199999	0
114	incomp	406.944829999929	0
114	incomp	386.149438000075	0
114	incomp	320.487098000058	0
114	comp	402.247941000041	0
114	comp	426.145364999911	0
114	incomp	348.062607999964	0
114	incomp	393.095923999908	0
114	comp	545.36291699992	0
114	incomp	362.155848000157	0
114	incomp	413.675666000017	0
114	comp	446.683293999968	0
114	comp	345.237479000161	0
114	comp	345.760018999954	0
114	comp	404.001630000039	0
114	incomp	401.324234000185	0
114	incomp	445.203334000098	0
114	incomp	397.374137000043	0
114	incomp	342.858381000042	0
114	incomp	342.855826999994	0
114	incomp	327.088834000051	0
114	comp	307.427248999829	0
114	incomp	363.236868000058	0
114	incomp	309.253414000068	0
114	comp	408.614725000007	0
114	comp	409.985263000181	0
114	incomp	475.573999000062	0
114	comp	324.422179000067	0
114	incomp	392.394448000005	0
114	comp	420.134579999967	0
114	comp	376.07901000024	0
114	incomp	357.488825000019	0
114	comp	415.955500999871	0
114	comp	487.100743999918	0
114	comp	410.376885000005	0
114	incomp	338.220293000177	0
114	comp	337.512559000061	0
114	incomp	347.880728000064	0
114	incomp	414.628193999988	0
114	incomp	425.681422000252	0
114	comp	345.537133999869	0
114	incomp	349.223973000107	0
114	comp	277.254493999862	0
114	comp	345.303570000169	0
114	incomp	410.353504000113	0
114	comp	442.55655500001	0
114	comp	298.513381000021	0
114	incomp	419.26559500007	0
114	incomp	335.638197000208	0
114	comp	339.721573000134	0
114	incomp	505.086988999892	0
114	comp	283.528445000229	0
114	incomp	362.042811000038	0
114	incomp	382.927590000008	0
114	incomp	326.621978000048	0
114	incomp	392.129138999962	0
114	comp	464.452859999938	0
114	incomp	357.816866999883	0
